"","rules","support","confidence","lift","count"
"67","{alterations,dwelling,1,1} => {family}",0.225770609499198,1,2.85449196326062,44906
"68","{(5),5,wood,dwelling,1,1} => {frame}",0.224639393467102,1,1.71602477827242,44681
"69","{dwelling,1,1,frame} => {(5),5,wood}",0.224639393467102,0.998502726378833,1.77441515625928,44681
"70","{(5),5,wood,dwelling,1,1} => {alterations}",0.224639393467102,1,1.02787496059574,44681
"71","{alterations,dwelling,1,1} => {(5),5,wood}",0.224639393467102,0.994989533692602,1.76817194611611,44681
"72","{dwelling,1,1,frame} => {alterations}",0.224976244463326,1,1.02787496059574,44748
"73","{alterations,dwelling,1,1} => {frame}",0.224976244463326,0.99648153921525,1.70998701238441,44748
"74","{(5),5,wood,new} => {frame}",0.119320667065525,1,1.71602477827242,23733
"75","{frame,new} => {(5),5,wood}",0.119320667065525,0.978922620029698,1.73961982065407,23733
"76","{(5),5,wood,new} => {alterations}",0.119320667065525,1,1.02787496059574,23733
"77","{frame,new} => {alterations}",0.121402104564582,0.995999010064346,1.02376244322329,24147
"78","{&,(5),5,wood} => {frame}",0.128988793419842,1,1.71602477827242,25656
"79","{&,frame} => {(5),5,wood}",0.128988793419842,0.975031353323452,1.732704744272,25656
"80","{&,(5),5,wood} => {alterations}",0.128988793419842,1,1.02787496059574,25656
"81","{&,frame} => {alterations}",0.131723822404111,0.995705544787748,1.02346079761367,26200
"82","{and,to} => {alterations}",0.100562591439963,0.998901318417899,1.02674565330783,20002
"83","{(5),5,wood,and} => {frame}",0.157545713696764,1,1.71602477827242,31336
"84","{and,frame} => {(5),5,wood}",0.157545713696764,0.979525491544497,1.74069116910898,31336
"85","{(5),5,wood,and} => {alterations}",0.157545713696764,1,1.02787496059574,31336
"86","{and,frame} => {alterations}",0.160476820126596,0.997749367009471,1.02556159129929,31919
"87","{of,to} => {alterations}",0.109954198319767,0.994723915218776,1.02245180515914,21870
"88","{family,of} => {(5),5,wood}",0.10772695964324,0.96605049594229,1.7167450788326,21427
"89","{family,of} => {frame}",0.110703314714355,0.992741208295762,1.70356851184763,22019
"90","{family,of} => {alterations}",0.110934585547584,0.994815148782687,1.02254558185505,22065
"91","{(5),5,wood,of} => {frame}",0.16751549765964,1,1.71602477827242,33319
"92","{frame,of} => {(5),5,wood}",0.16751549765964,0.966861089347378,1.71818556485788,33319
"93","{(5),5,wood,of} => {alterations}",0.16751549765964,1,1.02787496059574,33319
"94","{frame,of} => {alterations}",0.171421963690479,0.989408316647805,1.01698803448746,34096
"95","{family,to} => {(5),5,wood}",0.11626386996546,0.97619148127823,1.73476637973055,23125
"96","{family,to} => {frame}",0.11847099813475,0.994723289290388,1.70696981194695,23564
"97","{family,to} => {alterations}",0.119003926576538,0.999197939972139,1.02705054317621,23670
"98","{(5),5,wood,to} => {frame}",0.196193080979985,1,1.71602477827242,39023
"99","{frame,to} => {(5),5,wood}",0.196193080979985,0.978069076144168,1.73810300836402,39023
"100","{(5),5,wood,to} => {alterations}",0.196193080979985,1,1.02787496059574,39023
"101","{frame,to} => {alterations}",0.19998391159421,0.996967266529651,1.02475768979941,39777
"102","{(5),5,wood,family} => {frame}",0.338298952745336,1,1.71602477827242,67288
"103","{family,frame} => {(5),5,wood}",0.338298952745336,0.974468146732126,1.73170388339766,67288
"104","{(5),5,wood,family} => {alterations}",0.338298952745336,1,1.02787496059574,67288
"105","{alterations,family} => {(5),5,wood}",0.338298952745336,0.97692988951319,1.73607858722784,67288
"106","{family,frame} => {alterations}",0.343226027018466,0.988660555241778,1.01621942926171,68268
"107","{alterations,family} => {frame}",0.343226027018466,0.991158151487434,1.70085194713913,68268
"108","{(5),5,wood,frame} => {alterations}",0.562717130632827,0.999991065525436,1.02786577707305,111925
"109","{(5),5,wood,alterations} => {frame}",0.562717130632827,1,1.71602477827242,111925
"110","{alterations,frame} => {(5),5,wood}",0.562717130632827,0.984475327645351,1.74948740367732,111925
"111","{dwelling,1,0,,5,wood,dwelling,1,1,family} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"112","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1} => {family}",0.128465920231673,1,2.85449196326062,25552
"113","{(5),5,wood,dwelling,1,0,,5,wood,family} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"114","{dwelling,1,0,,5,wood,dwelling,1,1,family} => {frame}",0.128616749035953,1,1.71602477827242,25582
"115","{dwelling,1,0,,5,wood,dwelling,1,1,frame} => {family}",0.128616749035953,1,2.85449196326062,25582
"116","{dwelling,1,0,,5,wood,family,frame} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"117","{dwelling,1,0,,5,wood,dwelling,1,1,family} => {alterations}",0.128616749035953,1,1.02787496059574,25582
"118","{alterations,dwelling,1,0,,5,wood,dwelling,1,1} => {family}",0.128616749035953,1,2.85449196326062,25582
"119","{alterations,dwelling,1,0,,5,wood,family} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"120","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1} => {frame}",0.128465920231673,1,1.71602477827242,25552
"121","{dwelling,1,0,,5,wood,dwelling,1,1,frame} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"122","{(5),5,wood,dwelling,1,0,,5,wood,frame} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"123","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1} => {alterations}",0.128465920231673,1,1.02787496059574,25552
"124","{alterations,dwelling,1,0,,5,wood,dwelling,1,1} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"125","{(5),5,wood,alterations,dwelling,1,0,,5,wood} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"126","{dwelling,1,0,,5,wood,dwelling,1,1,frame} => {alterations}",0.128616749035953,1,1.02787496059574,25582
"127","{alterations,dwelling,1,0,,5,wood,dwelling,1,1} => {frame}",0.128616749035953,1,1.71602477827242,25582
"128","{alterations,dwelling,1,0,,5,wood,frame} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"129","{(5),5,wood,dwelling,1,0,,5,wood,family} => {frame}",0.128888240883656,1,1.71602477827242,25636
"130","{dwelling,1,0,,5,wood,family,frame} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"131","{(5),5,wood,dwelling,1,0,,5,wood,frame} => {family}",0.128888240883656,1,2.85449196326062,25636
"132","{(5),5,wood,dwelling,1,0,,5,wood,family} => {alterations}",0.128888240883656,1,1.02787496059574,25636
"133","{alterations,dwelling,1,0,,5,wood,family} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"134","{(5),5,wood,alterations,dwelling,1,0,,5,wood} => {family}",0.128888240883656,1,2.85449196326062,25636
"135","{dwelling,1,0,,5,wood,family,frame} => {alterations}",0.129039069687935,1,1.02787496059574,25666
"136","{alterations,dwelling,1,0,,5,wood,family} => {frame}",0.129039069687935,1,1.71602477827242,25666
"137","{alterations,dwelling,1,0,,5,wood,frame} => {family}",0.129039069687935,1,2.85449196326062,25666
"138","{(5),5,wood,dwelling,1,0,,5,wood,frame} => {alterations}",0.128888240883656,1,1.02787496059574,25636
"139","{(5),5,wood,alterations,dwelling,1,0,,5,wood} => {frame}",0.128888240883656,1,1.71602477827242,25636
"140","{alterations,dwelling,1,0,,5,wood,frame} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"141","{(5),5,wood,frame,with} => {alterations}",0.113800332828895,0.999955822583495,1.02782955173549,22635
"142","{(5),5,wood,alterations,with} => {frame}",0.113800332828895,1,1.71602477827242,22635
